"","title","artist","year","id","lang"
"101","I Love Rock 'N Roll","Joan Jett and The Blackhearts",1982,"3938851","en"
"102","We Got The Beat","Go-Go's",1982,"602852","en"
"103","Chariots Of Fire - Titles","Vangelis",1982,"458348","en"
"104","Freeze-frame","The J. Geils Band",1982,"837286","en"
"105","Make A Move On Me","Olivia Newton-John",1982,"1684718","en"
"106","Don't Talk To Strangers","Rick Springfield",1982,"1062298","en"
"107","Open Arms","Journey",1982,"340746","en"
"108","That Girl","Stevie Wonder",1982,"393315","en"
"109","Key Largo","Bertie Higgins",1982,"1718870","en"
"110","Do You Believe In Love","Huey Lewis and The News",1982,"2279460","en"
"111","Pac-Man Fever","Buckner and Garcia",1982,"773360","en"
"112","Edge Of Seventeen (Just Like The White Winged Dove)","Stevie Nicks",1982,"78706","en"
"113","Should I Do It","The Pointer Sisters",1982,"1175467","en"
"114","(Oh) Pretty Woman","Van Halen",1982,"794775","en"
"115","One Hundred Ways","Quincy Jones ",1982,"800535","en"
"116","'65 Love Affair","Paul Davis",1982,"1570222","en"
"117","Sweet Dreams","Air Supply",1982,"1509423","en"
"118","Find Another Fool","Quarterflash",1982,"1372388","en"
"119","Take Off","Bob and Doug McKenzie",1982,"809378","en"
"120","Nobody Said It Was Easy (Lookin' For The Lights)","LeRoux",1982,"1378469","en"
"121","867-5309/jenny","Tommy Tutone",1982,"487416","en"
"122","Goin' Down","Greg Guidry",1982,"1438964","en"
"123","My Guy","Sister Sledge",1982,"2009654","en"
"124","Did It In A Minute","Daryl Hall John Oates",1982,"1850596","en"
"125","Get Down On It","Kool and The Gang",1982,"1442583","en"
"126","Juke Box Hero","Foreigner",1982,"90561","en"
"127","Baby Makes Her Blue Jeans Talk","Dr. Hook",1982,"1212608","en"
"128","I've Never Been To Me","Charlene",1982,"866099","en"
"129","Ebony And Ivory","Paul McCartney And Stevie Wonder",1982,"387647","en"
"130","Always On My Mind","Willie Nelson",1982,"429135","en"
"131","Centerfold","The J. Geils Band",1982,"272092","en"
"132","Bobbie Sue","The Oak Ridge Boys",1982,"861170","en"
"133","Mama Used To Say","Junior",1982,"2144225","en"
"134","The Beatles' Movie Medley","The Beatles",1982,"1082581","en"
"135","Pop Goes The Movies Part I","Meco",1982,"1275155","en"
"136","Theme From Magnum P.i.","Mike Post",1982,"55282","en"
"137","Genius Of Love","Tom Tom Club",1982,"3260","en"
"138","Hang Fire","The Rolling Stones",1982,"105933","en"
"139","Don't You Want Me","The Human League",1982,"501821","en"
"140","The Other Woman","Ray Parker Jr.",1982,"1214046","en"
"141","Shine On","George Duke",1982,"701488","en"
"142","Empty Garden (Hey Hey Johnny)","Elton John",1982,"390458","en"
"143","I'll Try Something New","A Taste Of Honey",1982,"1211728","en"
"144","Making Love","Roberta Flack",1982,"1707492","en"
"145","Stars on 45 III","Stars On",1982,"6911615","en"
"146","Still In Saigon","The Charlie Daniels Band",1982,"691209","en"
"147","Let's Hang On","Barry Manilow",1982,"1084634","en"
"148","Shanghai Breezes","John Denver",1982,"1463721","en"
"149","If I Had My Wish Tonight","David Lasley",1982,"1272812","en"
"150","Tainted Love","Soft Cell",1982,"384645","en"
"151","On A Carousel","Glass Moon",1982,"387797","en"
"152","Never Give Up On A Good Thing","George Benson",1982,"1314145","en"
"153","Apache","Sugarhill Gang",1982,"6204","en"
"154","Since You're Gone","The Cars",1982,"1325151","en"
"155","Man On The Corner","Genesis",1982,"735607","en"
"156","Run For The Roses","Dan Fogelberg",1982,"1470002","en"
"157","Man On Your Mind","Little River Band",1982,"1016038","en"
"158","It's Gonna Take A Miracle","Deniece Williams",1982,"892707","en"
"159","Wake Up Little Susie","Simon and Garfunkel",1982,"807824","en"
"160","On The Way To The Sky","Neil Diamond",1982,"227832","en"
"161","Fantasy","Aldo Nova",1982,"780391","en"
"162","Don't Stop Me Baby (I'm On Fire)","The Boys Band",1982,"1656378","en"
"163","Circles","Atlantic Starr",1982,"1906683","en"
"164","When He Shines","Sheena Easton",1982,"1256831","en"
"165","One To One","Carole King",1982,"1689054","en"
"166","The Gigolo","O'Bryan",1982,"4584028","en"
"167","I'm In Love Again","Pia Zadora",1982,"2925790","en"
"168","Shake It Up","The Cars",1982,"893635","en"
"169","My Girl","Donnie Iris",1982,"1621344","en"
